,id,name,domain,founded_at,state_code,country_code,entity_type,category_code,funding_total_usd,milestones,industry,size range,current employee estimate,num_employees_bucket,page_rank_value
25698,c:41000,Advanced Communications,acidirect.com,1984-01-01,MI,USA,Company,public_relations,,1,telecommunications,51 - 200,92,500,8.71746579920611e-09
25699,c:41003,RezStream,rezstream.com,,CO,USA,Company,software,,,computer software,11 - 50,12,1,2.4666093639122e-07
25700,c:41005,HookLogic,hooklogic.com,2004-08-01,NY,USA,Company,advertising,23500000,2,marketing and advertising,11 - 50,21,50,2.4322670185817e-07
25701,c:4101,jiffle,jifflenow.com,2006-01-01,CA,USA,Company,web,,,computer software,51 - 200,99,50,2.54409944926786e-07
25702,c:41011,Acrisure,acrisure.com,2006-01-01,MI,USA,Company,finance,20000000,1,insurance,201 - 500,156,200,3.22955193625943e-08
25703,c:41019,ION-E Group,ion-e.com,1998-01-01,DE,USA,Company,software,,1,information technology and services,1 - 10,3,1,3.3337806250714e-08
25704,c:41023,BG Medicine,bg-medicine.com,2000-01-01,MA,USA,Company,medical,94129290,2,medical devices,11 - 50,19,1,3.84328762532937e-08
25705,c:41025,AU Optronics,auo.com,1996-01-01,,TWN,Company,semiconductor,,1,electrical/electronic manufacturing,5001 - 10000,1911,10000,3.3501803526828197e-07
25706,c:41032,Toyota Tsusho,toyota-tsusho.com,,,JPN,Company,,,1,automotive,201 - 500,160,10000,3.89105113061765e-07
25707,c:41035,Manjrasoft,manjrasoft.com,2008-01-01,,AUS,Company,enterprise,529000,,information technology and services,1 - 10,0,50,6.14853135091735e-08
25708,c:41043,DBolical,dbolical.com,2006-10-01,,AUS,Company,games_video,,1,computer games,1 - 10,2,1,3.2157482833522305e-08
25709,c:41048,Encore Interactive,encoreinteractive.ca,2007-01-01,,CAN,Company,network_hosting,500000,1,telecommunications,11 - 50,8,1,5.171265301949071e-09
25710,c:41055,Access Innovations,accessinn.com,1978-01-01,NM,USA,Company,software,,1,online media,11 - 50,21,1,2.1626365630251102e-07
25711,c:41061,Avalara,avalara.com,2004-01-01,WA,USA,Company,software,80228360,1,computer software,1001 - 5000,967,1000,2.47422042289366e-06
25713,c:41069,BlueView Technologies,blueview.com,,WA,USA,Company,cleantech,215931,1,maritime,11 - 50,8,1,5.2427376816434105e-08
25714,c:41070,LyntonWeb,lyntonweb.com,1999-01-01,TX,USA,Company,public_relations,,1,internet,11 - 50,17,1,3.94416957960585e-07
25715,c:41072,Exegy,exegy.com,2003-01-01,MO,USA,Company,hardware,16787546,1,information technology and services,51 - 200,68,50,4.9889462524198e-08
25716,c:41083,Fredrik Marine IT Services,fredrikmarine.com,1992-01-01,,SGP,Company,,,1,maritime,11 - 50,6,1,1.4492844632384e-08
25717,c:41091,Cityzenith,cityzenith.com,2000-01-01,NY,USA,Company,software,214000,2,information technology and services,11 - 50,13,1,3.9927793549131806e-08
25718,c:41096,People-OnTheGo,people-onthego.com,2002-04-02,CA,USA,Company,other,,1,education management,1 - 10,2,1,5.61979750669057e-08
25719,c:41101,Intelligize,intelligize.com,2007-01-01,NY,USA,Company,analytics,3590727,1,information technology and services,51 - 200,50,1,3.7960411260355598e-06
25720,c:41103,LiquidHub,liquidhub.com,2000-01-01,PA,USA,Company,consulting,22000000,1,information technology and services,1001 - 5000,919,1000,4.07980888305013e-07
25721,c:41107,Merus,merus.nl,2003-01-01,,NLD,Company,biotech,70190820,1,research,51 - 200,66,50,4.5489985248086505e-08
25722,c:41108,INTTRA,inttra.com,2000-01-01,NJ,USA,Company,enterprise,30000000,1,information technology and services,201 - 500,168,50,1.35668778637176e-07
25723,c:41111,W4,w4.com,,CA,USA,Company,advertising,10000000,3,marketing and advertising,51 - 200,32,1,9.171992135939232e-08
25725,c:41112,Tora Trading Services,tora.com,,,JPN,Company,finance,36400000,,financial services,201 - 500,154,200,6.18962631361743e-08
25726,c:41114,Andrews International,andrewsinternational.com,1988-01-01,CA,USA,Company,other,,,security and investigations,1001 - 5000,818,1000,4.26277913567293e-08
25727,c:41116,Prestige Care Inc.,prestigecare.com,1996-06-19,,,Company,other,,,hospital & health care,501 - 1000,401,1000,6.82908808685092e-08
25728,c:41119,Edgar Online,edgar-online.com,1995-01-01,CT,USA,Company,finance,14000000,1,information technology and services,51 - 200,40,50,2.7258176209985402e-06
25729,c:41120,PROTONZ Technologies,protonz.net,2007-11-19,,IND,Company,software,,,information technology and services,1 - 10,2,1,1.39123080061763e-08
25730,c:41121,Summit Van Lines,summitvanlines.com,2000-01-01,FL,USA,Company,other,,,transportation/trucking/railroad,1 - 10,1,50,1.2965746341374099e-08
25731,c:41122,Express In Music,expressinmusic.com,2009-02-01,,SGP,Company,advertising,,1,music,1 - 10,3,1,1.17434491146619e-08
25732,c:41134,Nintex,nintex.com,2005-01-01,WA,USA,Company,software,135000000,1,computer software,501 - 1000,302,200,1.2491230963745001e-06
25733,c:41135,Intlock,intlock.com,2005-01-01,MA,USA,Company,software,,1,computer software,11 - 50,22,1,6.77988243251234e-08
25735,c:41140,Capillary Technologies,capillarytech.com,2008-08-01,,SGP,Company,enterprise,15600000,2,internet,1001 - 5000,540,500,2.0970221942315302e-07
25736,c:41164,NextNine,nextnine.com,1998-01-01,NY,USA,Company,software,15000000,1,computer software,11 - 50,18,1,3.30541565544806e-08
25737,c:41165,Oblong Industries,oblong.com,2006-01-01,CA,USA,Company,hardware,8800000,1,computer software,51 - 200,82,50,4.4391344905154293e-07
25738,c:4117,FragMob,fragmob.com,2008-02-01,CA,USA,Company,software,,1,computer software,11 - 50,11,1,4.07329587158652e-08
25739,c:41182,Onit,onit.com,2011-01-01,TX,USA,Company,software,5257000,1,computer software,51 - 200,75,50,4.7763548445700496e-08
25741,c:41183,Shared Performance,sharedperformance.com,2008-01-01,AZ,USA,Company,enterprise,416250,,computer software,1 - 10,1,1,5.15877531055907e-09
25742,c:41195,Vyapin Software Systems Private Limited,vyapin.com,1996-04-01,,IND,Company,software,,1,computer software,11 - 50,13,50,5.53876925418388e-08
25743,c:41204,Xsens Technologies,xsens.com,2000-01-01,,NLD,Company,hardware,,,electrical/electronic manufacturing,51 - 200,53,50,3.13346179853533e-07
25744,c:41208,Plinga,plinga.com,2009-06-01,,DEU,Company,social,,1,computer games,51 - 200,27,50,3.52548749340578e-07
25745,c:41211,Runic Games,runicgames.com,2008-08-01,,,Company,games_video,8400000,,computer games,1 - 10,3,1,4.2364267577375297e-07
25746,c:41212,Touch Bionics,touchbionics.com,,,GBR,Company,biotech,5172900,,medical devices,51 - 200,59,50,2.22828113285959e-07
25747,c:41214,RealClearPolitics,realclearpolitics.com,2001-01-01,IL,USA,Company,news,,1,online media,51 - 200,27,1,4.87926644890349e-06
25748,c:41217,US Internet,usinternet.com,1995-01-01,MN,USA,Company,network_hosting,,,internet,51 - 200,64,50,2.95750943158892e-07
25749,c:41218,FirstCarbon Solutions,firstcarbonsolutions.com,,PA,USA,Company,cleantech,,1,environmental services,51 - 200,44,50,3.3507988369453e-08
25750,c:41220,HealthTech Holdings,hmstn.com,1984-01-01,,,Company,software,,,hospital & health care,1001 - 5000,647,50,1.35036022017324e-08
25751,c:41221,MEDHOST,medhost.com,,TX,USA,Company,biotech,,1,hospital & health care,501 - 1000,390,50,1.1512611249491598e-07
25752,c:41225,DBVu,dbvu.net,2010-01-25,,,Company,analytics,121858,1,internet,1 - 10,1,1,6.96758014946551e-09
25753,c:41228,American Himalayan Foundation,himalayan-foundation.org,,CA,USA,Company,,,1,philanthropy,11 - 50,8,1,1.64721193060629e-07
25754,c:41236,Bloomspot,bloomspot.com,,CA,USA,Company,ecommerce,51050000,2,internet,11 - 50,7,1,4.71875652321787e-08
25755,c:41248,CyPhy Works,cyphyworks.com,2008-11-14,MA,USA,Company,manufacturing,9950002,,aviation & aerospace,51 - 200,29,1,1.11633021348931e-07
25756,c:41263,Zyngenia,zyngenia.com,2008-01-01,MD,USA,Company,biotech,25000000,,biotechnology,11 - 50,6,1,1.0321021704081601e-08
25757,c:41264,CEVEC Pharmaceuticals,cevec.com,2001-01-01,,DEU,Company,biotech,14028000,1,biotechnology,51 - 200,21,1,3.11866420528725e-08
25758,c:41266,Novedge,novedge.com,2003-04-01,CA,USA,Company,ecommerce,,1,computer software,1 - 10,4,1,2.3559982052414603e-07
25759,c:41267,Rockhouse Partners,rockhousepartners.com,2009-01-01,TN,USA,Company,games_video,,,marketing and advertising,1 - 10,1,1,2.20706567806392e-07
25760,c:41268,Restaurant.com,restaurant.com,1999-01-01,IL,USA,Company,,8000000,2,internet,1001 - 5000,1108,200,1.15923606899104e-06
25761,c:41276,Giggle,giggle.com,,NY,USA,Company,other,30566474,,retail,51 - 200,46,50,1.40367217481818e-07
25762,c:41279,Motive Interactive,motiveinteractive.com,2003-03-17,CA,USA,Company,advertising,,1,marketing and advertising,51 - 200,39,1,1.47510563933328e-07
25763,c:41284,SIM Partners,simpartners.com,2006-02-14,IL,USA,Company,search,,1,internet,11 - 50,25,50,1.7822046619448603e-07
25766,c:41285,Ageto Service,ageto.de,,,DEU,Company,software,,,internet,11 - 50,10,50,5.84206965832538e-08
25767,c:41288,SiTune,situne-ic.com,,CA,USA,Company,semiconductor,,1,semiconductors,11 - 50,8,1,7.330101747386609e-09
25768,c:41289,Attila Technologies,attila-tech.com,,NJ,USA,Company,software,,,telecommunications,1 - 10,2,1,4.48186277066816e-09
25769,c:41290,InterDigital Communications,interdigital.com,1981-01-01,PA,USA,Company,hardware,,1,wireless,201 - 500,232,200,3.7910928805064603e-07
25771,c:4131,Trovit,trovit.com,2006-10-11,,ESP,Company,ecommerce,870960,1,internet,201 - 500,98,50,4.97277360767468e-07
25773,c:41311,Lavante,lavante.com,2001-01-01,CA,USA,Company,enterprise,11819092,1,computer software,11 - 50,18,50,3.53504360522079e-07
25774,c:41316,Hooked Media Group,hookedmediagroup.com,2008-01-01,CA,USA,Company,games_video,4500000,1,internet,1 - 10,2,1,2.60342667903456e-08
25775,c:41324,PhotoShelter,photoshelter.com,2005-01-01,NY,USA,Company,web,4200000,1,photography,51 - 200,90,1,4.15088635242503e-05
25777,c:41326,Sigma Systems,sigma-systems.com,1997-01-01,,CAN,Company,software,,1,telecommunications,501 - 1000,267,200,4.3987972406495996e-08
25778,c:41331,Primary Technology,primaryt.co.uk,2004-11-10,,GBR,Company,other,,1,information technology and services,11 - 50,13,1,1.07727876765924e-07
25779,c:41332,The Ocean Agency,theoceanagency.com,,IL,USA,Company,advertising,,,internet,11 - 50,19,1,5.77140241297779e-09
25780,c:41342,Creme Software,cremeglobal.com,2005-04-14,,IRL,Company,enterprise,,1,information technology and services,11 - 50,22,1,2.4798294697457503e-08
25781,c:41344,Zhilabs,zhilabs.com,2008-01-01,,ESP,Company,software,,1,telecommunications,51 - 200,32,50,6.8454797646001995e-09
25783,c:41356,SurveyPirate,cint.com,2007-08-01,,,Company,web,,1,computer software,201 - 500,160,1,3.0946872862182398e-06
25784,c:42796,Cint,cint.com,1998-01-01,,SWE,Company,software,15440950,2,computer software,201 - 500,160,1,3.0946872862182398e-06
25785,c:41358,Cordys,cordys.com,2001-01-01,,NLD,Company,software,,4,computer software,201 - 500,146,200,7.37566764972934e-08
25788,c:41368,LensVector,lensvector.com,2006-01-01,CA,USA,Company,hardware,33500000,1,electrical/electronic manufacturing,11 - 50,10,50,1.48168786939704e-08
25789,c:4137,TeleWare,teleware.com,,,,Company,,,,telecommunications,51 - 200,61,50,6.016623781883629e-08
25790,c:41370,Piazza,piazza.com,2009-01-01,CA,USA,Company,education,7500000,2,internet,51 - 200,28,1,7.18720971543615e-07
25791,c:41373,Eden Park Illumination,edenpark.com,2007-01-01,IL,USA,Company,other,10484050,,electrical/electronic manufacturing,11 - 50,8,1,8.7304925224002e-09
25792,c:41375,focusIT,focusitinc.com,2002-01-01,AZ,USA,Company,network_hosting,,,financial services,11 - 50,11,1,9.73262766993047e-09
25793,c:41376,Identification International,idintl.com,,VA,USA,Company,security,1295000,,biotechnology,1 - 10,4,1,8.562212252685941e-09
25794,c:41378,Eden Rock Communications,edenrockcomm.com,2007-01-01,WA,USA,Company,mobile,700000,,wireless,1 - 10,5,1,1.62833181009509e-08
25795,c:41380,Tagent,tagent.com,,CA,USA,Company,semiconductor,2536952,1,wireless,1 - 10,0,1,4.9363700887167204e-09
25796,c:41381,Wcities,wcities.com,1998-11-01,CA,USA,Company,software,,1,internet,51 - 200,38,50,1.32104870746695e-07
25797,c:41388,Silicon Beach Training,siliconbeachtraining.co.uk,1999-01-01,,GBR,Company,education,,1,professional training & coaching,1 - 10,5,1,1.19790258302697e-07
25802,c:4140,Swyx,swyx.com,,,,Company,,,1,computer software,51 - 200,33,50,1.17884545883568e-07
25803,c:41417,Ergo,ergogroup.ie,1993-01-01,,IRL,Company,enterprise,,1,information technology and services,501 - 1000,363,200,4.9944826914327596e-08
25804,c:41418,ChapterBoard,chapterboard.com,2007-09-01,WA,USA,Company,web,,1,internet,1 - 10,0,1,5.523098344633461e-09
25805,c:4142,SMC Networks,smc.com,,CA,USA,Company,hardware,,1,computer networking,51 - 200,56,200,3.5350953567672e-07
25806,c:4143,PGP Corporation,pgp.com,1996-01-01,CA,USA,Company,software,51050012,2,computer software,51 - 200,39,200,2.01411872805002e-06
25807,c:41432,Avalanche Technology,avalanche-technology.com,2006-01-01,CA,USA,Company,semiconductor,54330000,1,computer hardware,11 - 50,16,50,2.00361705762372e-08
25808,c:41433,Ovonyx,ovonyx.com,1999-01-01,MI,USA,Company,semiconductor,,1,industrial automation,1 - 10,3,50,1.0394380794078399e-08
25809,c:41434,Connect Financial Software Solutions,connectfss.com,2007-01-01,UT,USA,Company,software,1900000,,internet,11 - 50,12,1,1.12316111055407e-08
25810,c:41437,Tap 'n Tap,tapntap.com,2008-01-01,MA,USA,Company,hardware,1600000,,consumer electronics,1 - 10,1,1,8.75445018619013e-09
25811,c:41446,likeZEBRA,likezebra.com,2009-01-01,CA,USA,Company,games_video,,,internet,1 - 10,0,1,6.7190849565831395e-09
25812,c:41450,Allergan,allergan.com,,CA,USA,Company,biotech,,2,pharmaceuticals,10001+,9852,10000,3.1593513307286203e-06
25813,c:41452,ANXeBusiness,anx.com,1999-01-01,MI,USA,Company,software,,,information technology and services,51 - 200,36,50,6.09400210814913e-08
25814,c:41465,Eletronic Frontier Foundation,eff.org,1990-07-01,CA,USA,Company,,,,law practice,51 - 200,57,50,4.44908515888904e-05
25815,c:71481,Electronic Frontier Foundation,eff.org,1990-01-01,CA,USA,Company,nonprofit,,1,law practice,51 - 200,57,50,4.44908515888904e-05
25816,c:41467,Free Software Foundation,fsf.org,,MA,USA,Company,software,,,non-profit organization management,51 - 200,48,1,1.6790211052843398e-05
25817,c:41469,Multicast Media,multicastmedia.com,2000-01-01,GA,USA,Company,web,,2,internet,11 - 50,13,50,4.3196777352060603e-07
25818,c:41487,8th & Walton,8thandwalton.com,2006-06-01,AR,USA,Company,consulting,,1,education management,11 - 50,22,1,6.18473280169493e-08
25820,c:41490,BuzzBuzzHome,buzzbuzzhome.com,2009-01-01,,CAN,Company,advertising,,1,real estate,11 - 50,18,1,3.71552580189566e-07
25821,c:41496,Siano Mobile Silicon,siano-ms.com,2004-06-01,,ISR,Company,hardware,106000000,1,semiconductors,11 - 50,14,50,2.65676468517861e-08
25822,c:41499,Campbell Lutyens,campbell-lutyens.com,1988-01-01,,GBR,Company,,,,venture capital & private equity,51 - 200,87,50,2.34146169165634e-08
25823,c:415,Telligent Systems,telligent.com,2004-06-01,TX,USA,Company,software,29475000,4,computer software,11 - 50,16,50,8.083333004892309e-07
25827,c:41529,Automated Trading Desk,atdesk.com,1988-01-01,SC,USA,Company,software,60000000,,financial services,201 - 500,124,50,1.8673681699182502e-08
25828,c:41531,IBS Software Services (P),ibsplc.com,1997-01-01,,IND,Company,software,60000000,,information technology and services,1001 - 5000,1232,1000,1.0364028112311999e-07
25829,c:41538,Novarra,novarra.com,1999-01-01,IL,USA,Company,mobile,50000000,2,wireless,11 - 50,8,50,2.6195929459725298e-08
25830,c:41541,Locaweb,locaweb.com.br,1998-01-01,,BRA,Company,network_hosting,,2,internet,1001 - 5000,550,500,7.848054473412809e-06
25831,c:41542,Mentez,mentez.com,2007-01-01,FL,USA,Company,games_video,,3,internet,11 - 50,6,1,1.11577673951519e-08
25833,c:41543,BackgroundChecks.com,backgroundchecks.com,1999-01-01,TX,USA,Company,web,,,security and investigations,11 - 50,24,50,1.2985576569706303e-07
25835,c:41545,Dialogic,dialogic.com,,CA,USA,Company,software,43019869,1,telecommunications,501 - 1000,294,500,5.52337745149944e-07
25836,c:41546,Aculab,aculab.com,,,GBR,Company,software,,,telecommunications,51 - 200,39,200,8.38746034283371e-08
25837,c:41548,WebScience,webscience.ie,2007-01-05,,IRL,Company,ecommerce,,1,information technology and services,1 - 10,0,1,1.10565083980168e-08
25838,c:41549,Dextrys,dextrys.com,1987-01-01,MA,USA,Company,consulting,48000000,,information technology and services,201 - 500,150,1000,5.27347719069532e-09
25839,c:41550,agámi Systems,agami.com,2003-01-01,CA,USA,Company,hardware,50000000,1,financial services,51 - 200,21,50,1.92091920610402e-08
25840,c:4156,YouTellMe,youtellme.com,2007-03-09,,NLD,Company,ecommerce,,1,internet,1 - 10,3,1,1.64541566034313e-08
25842,c:41560,Notion Ink Design Labs,notionink.com,,,IND,Company,hardware,,1,consumer electronics,51 - 200,24,50,7.60488908913009e-08
25843,c:41561,Cashier Live,cashierlive.com,2009-01-01,IL,USA,Company,software,200000,1,retail,51 - 200,47,1,5.333942768440349e-07
25844,c:41564,Corventis,corventis.com,,CA,USA,Company,,,1,medical devices,11 - 50,17,1,2.9041509335111802e-08
25845,c:41567,Koding,koding.com,2011-07-18,CA,USA,Company,enterprise,11530159,4,computer software,11 - 50,14,1,5.17783392910297e-07
25846,c:41568,Zettaset,zettaset.com,2007-12-01,CA,USA,Company,enterprise,26333003,2,computer software,11 - 50,12,1,7.76395208315464e-08
25847,c:41574,3Play Media,3playmedia.com,2007-01-01,MA,USA,Company,software,961601,1,computer software,201 - 500,173,1,1.70018068431272e-06
25848,c:41576,IP Street,ipstreet.com,2008-01-01,WA,USA,Company,analytics,6604352,,information technology and services,1 - 10,1,1,2.3674285054182003e-08
25849,c:4158,vzaar,vzaar.com,2007-04-01,,GBR,Company,web,3000000,3,internet,11 - 50,17,1,6.70547755056629e-06
25851,c:41583,Budget Your Trip,budgetyourtrip.com,2010-01-01,,,Company,web,,1,computer software,1 - 10,2,1,1.23950970664339e-07
25852,c:41584,End Point Corporation,endpoint.com,1995-01-01,NY,USA,Company,consulting,,,internet,51 - 200,32,50,6.627722619154511e-07
25853,c:41592,Slamdot,slamdot.com,2005-08-05,TN,USA,Company,network_hosting,,1,internet,11 - 50,9,1,3.8090468031881e-07
25854,c:41593,Simple,simple.com,2009-01-01,OR,USA,Company,enterprise,15290000,3,internet,201 - 500,167,200,1.7260945641609401e-06
25855,c:416,VMIX Media,vmix.com,2005-01-01,CA,USA,Company,enterprise,26000000,3,online media,1 - 10,2,1,7.90251752731614e-07
25857,c:41605,Secret Sales,secretsales.com,2007-01-01,,GBR,Company,fashion,9954128,1,internet,51 - 200,95,50,5.83337435790009e-07
25858,c:41608,ArrayComm,arraycomm.com,1992-01-01,CA,USA,Company,software,30000000,1,wireless,11 - 50,20,200,4.5896863260704204e-08
25859,c:41611,Stroz Friedberg,strozfriedberg.com,2000-01-01,NY,USA,Company,consulting,30000000,1,security and investigations,501 - 1000,303,10000,2.8335864115562003e-07
25860,c:41613,Company.com,company.com,2010-01-01,GA,USA,Company,social,5665000,1,computer software,11 - 50,17,200,3.2398789843915604e-05
25861,c:41614,Pursway,pursway.com,2005-01-01,,ISR,Company,analytics,13200000,1,computer software,11 - 50,6,1,3.40495723287318e-08
25862,c:41621,Metastorm,metastorm.com,1996-01-01,MD,USA,Company,software,30000000,2,computer software,51 - 200,48,1,4.3635795126768796e-08
25863,c:41622,Harmony Information Systems,harmonyis.com,1998-01-01,VA,USA,Company,software,39500000,1,computer software,11 - 50,17,50,1.9465538547302602e-08
25864,c:41623,AeroFarms,aerofarms.com,2004-01-01,NY,USA,Company,cleantech,500000,1,farming,51 - 200,53,50,2.2062820886412697e-07
25865,c:41640,eMAG,emag.com,,,DEU,Company,,,,machinery,201 - 500,102,1000,8.99642612926797e-08
25866,c:41651,Trinity Mirror,trinitymirror.com,,,GBR,Company,advertising,,2,newspapers,1001 - 5000,1325,5000,6.00527552977445e-07
25867,c:41655,PinBud International,pinbud.com,2009-07-10,,CAN,Company,web,,1,internet,1 - 10,5,500,3.61340541464631e-08
25868,c:41657,Bentley Systems,bentley.com,1984-01-01,PA,USA,Company,software,,2,computer software,1001 - 5000,2373,1000,2.15323030566206e-06
25869,c:41658,Enterprise Informatics,enterpriseinformatics.com,,CA,USA,Company,software,,1,computer software,1 - 10,2,1,6.182121964050021e-09
25870,c:41659,Adaptive Curriculum,adaptivecurriculum.com,1996-01-01,AZ,USA,Company,other,,1,e-learning,11 - 50,12,1,4.01056066123066e-08
25871,c:41666,ENuke Software,enukesoftware.com,2008-09-30,,IND,Company,software,,2,information technology and services,51 - 200,60,50,4.0122152384799507e-08
25872,c:41667,Mafiree,mafiree.com,2008-10-09,,IND,Company,software,,1,information technology and services,51 - 200,27,1,4.58439295269207e-09
25873,c:41673,Avectra,avectra.com,1994-01-01,VA,USA,Company,software,26500000,1,computer software,51 - 200,46,50,2.25701590252866e-06
25874,c:41676,INVIDI Technologies,invidi.com,2000-01-01,NJ,USA,Company,software,117250000,2,computer software,51 - 200,66,1,5.55433819087374e-08
25875,c:41677,Tango Networks,tango-networks.com,2005-01-01,TX,USA,Company,public_relations,31316593,,telecommunications,51 - 200,34,50,7.21752017915779e-08
25876,c:41681,TechPerm,techperm.com,1999-08-07,MD,USA,Company,consulting,,1,information technology and services,11 - 50,7,1,5.33463100121795e-09
25877,c:41682,Trafigura,trafigura.com,,MD,USA,Company,,,,oil & energy,1001 - 5000,1637,5000,1.49276491196396e-07
25878,c:41684,Vitol,vitol.com,1966-01-01,,,Company,other,,,oil & energy,1001 - 5000,548,50,1.59669650222244e-07
25879,c:41685,Total,total.com,,,FRA,Company,cleantech,,1,oil & energy,10001+,25780,10000,2.56542258351698e-06
25880,c:41690,iAcquire,iacquire.com,2008-10-01,AZ,USA,Company,search,,1,marketing and advertising,11 - 50,7,50,7.86534495479015e-07
25883,c:41701,Energy Acuity,energyacuity.com,2007-01-01,CO,USA,Company,cleantech,,,renewables & environment,51 - 200,27,1,9.076820897799658e-09
25884,c:41703,Farstar,wedontplayfair.com,2001-09-12,,,Company,advertising,,,marketing and advertising,11 - 50,8,1,4.826737075539821e-09
25885,c:41705,VLG Advertising,wefightboredom.com,2005-03-05,TX,USA,Company,advertising,,2,marketing and advertising,51 - 200,28,1,1.8176222462716002e-08
25886,c:41706,Ze-gen,ze-gen.com,2004-01-01,MA,USA,Company,cleantech,17600000,2,renewables & environment,11 - 50,13,1,1.8013908185646102e-08
25887,c:41720,Moodlerooms,moodlerooms.com,2005-09-01,MD,USA,Company,education,3441238,2,e-learning,11 - 50,14,50,3.45877161988188e-07
25888,c:41721,Smartvue,smartvue.com,1996-01-01,TN,USA,Company,enterprise,250000,,information technology and services,11 - 50,14,1,5.37057091041448e-08
25889,c:41722,Entech Solar,entechsolar.com,1984-01-01,TX,USA,Company,cleantech,6950000,2,electrical/electronic manufacturing,11 - 50,7,1,1.04808285996083e-08
25890,c:41752,Infrasoft Technologies,infrasofttech.com,1994-01-01,,IND,Company,software,24800000,,information technology and services,1001 - 5000,497,1000,2.3967578375701898e-08
25891,c:41757,Aptara,aptaracorp.com,1988-01-01,VA,USA,Company,consulting,23000000,1,publishing,1001 - 5000,1810,5000,1.49810071847159e-07
25892,c:41769,ITmozg,itmozg.ru,2009-11-01,,RUS,Company,search,,1,information technology and services,1 - 10,4,1,1.5680349304481097e-07
25893,c:41775,Valicom,valicomcorp.com,1991-01-01,WI,USA,Company,software,,1,telecommunications,11 - 50,13,1,8.764921521206521e-09
25894,c:41778,AboutOne,aboutone.com,2010-06-01,PA,USA,Company,web,3694003,2,computer software,1 - 10,3,1,9.96330833424577e-08
25897,c:41789,"Port25 Solutions, Inc.",port25.com,1999-01-01,MD,USA,Company,software,,1,information technology and services,1 - 10,4,1,5.748361082139029e-07
25898,c:41796,G5,getg5.com,2005-01-01,OR,USA,Company,software,15000000,2,marketing and advertising,201 - 500,201,200,3.54630730430939e-07
25899,c:4180,iPass,ipass.com,1996-01-01,CA,USA,Company,enterprise,,,information technology and services,201 - 500,204,50,5.62461011958675e-07
25900,c:41804,Dotster,dotster.com,1999-01-01,WA,USA,Company,web,,,internet,11 - 50,7,500,8.75904753939028e-06
25901,c:41805,Geos Communications,geoscommunications.com,,TX,USA,Company,mobile,2500000,,telecommunications,1 - 10,5,1,5.18835452207255e-09
25902,c:41816,Perceptive Pixel,perceptivepixel.com,2010-12-07,NY,USA,Company,security,,3,information technology and services,1 - 10,2,1,1.131167215195e-07
25903,c:41817,Circle Twelve,circletwelve.com,,MA,USA,Company,hardware,,,computer hardware,1 - 10,0,1,2.7712382603142704e-08
25904,c:41819,Peratech,peratech.com,1996-01-01,,GBR,Company,other,,,nanotechnology,11 - 50,16,1,4.3982399255236605e-08
25905,c:4183,Palo Alto Software,paloalto.com,1988-04-13,OR,USA,Company,software,,3,computer software,51 - 200,51,50,4.53097083854805e-07
25907,c:41831,Ingate Systems,ingate.com,2001-01-01,,SWE,Company,public_relations,,,telecommunications,11 - 50,13,1,1.40216996510269e-07
25908,c:41833,Linkdex,linkdex.com,2009-06-08,,GBR,Company,search,800000,3,internet,11 - 50,17,50,1.9376912392404703e-06
25909,c:41839,MeYou Health,meyouhealth.com,2009-01-01,MA,USA,Company,web,,1,"health, wellness and fitness",51 - 200,30,1,2.66651459501907e-07
25910,c:41841,Lotus Public Relations,lotus-pr.com,2002-08-01,NY,USA,Company,consulting,,,public relations and communications,1 - 10,3,1,5.55500716951898e-09
25911,c:41842,GAP Miners,gapminers.com,2008-02-01,,IND,Company,web,500000,1,internet,11 - 50,9,1,7.874429046476601e-09
25912,c:41851,Dito,ditoweb.com,2007-05-01,,,Company,software,,,information technology and services,51 - 200,38,1,1.07516089113582e-07
25913,c:41857,eCairn,ecairn.com,2006-10-01,CA,USA,Company,other,,2,internet,1 - 10,4,1,1.0770048362556698e-07
25914,c:41858,Monk Dev,monkdevelopment.com,2006-05-01,CA,USA,Company,software,,,internet,11 - 50,21,1,1.62250586108695e-07
25915,c:41860,BlackHawk Network,blackhawknetwork.com,2001-01-01,CA,USA,Company,ecommerce,,2,financial services,1001 - 5000,1010,1000,8.51336319861383e-07
25916,c:41866,Petco,petco.com,1965-01-01,CA,USA,Company,pets,,,retail,5001 - 10000,4385,10000,6.58551355717799e-06
25917,c:41876,Intrinsity,intrinsity.com,2008-01-01,TX,USA,Company,semiconductor,4000000,1,semiconductors,1 - 10,2,50,2.2124410637438597e-08
25918,c:41885,Zalicus,zalicus.com,2000-01-01,MA,USA,Company,biotech,8500000,1,biotechnology,11 - 50,14,1,1.3857551116931499e-08
25919,c:419,Web Scribble Solutions,webscribble.com,2001-01-01,NY,USA,Company,web,,4,information technology and services,11 - 50,10,200,3.8055089551014795e-07
25922,c:41904,Algebraix Data,algebraixdata.com,2004-01-01,CA,USA,Company,software,43772394,1,information technology and services,11 - 50,7,1,8.312949081036621e-08
25923,c:41909,Accruent,accruent.com,1995-01-01,CA,USA,Company,enterprise,32000000,1,computer software,501 - 1000,403,1000,3.2455586784508e-07
25924,c:4191,Palamida,palamida.com,2004-12-01,CA,USA,Company,security,18500000,1,computer software,11 - 50,11,1,1.3401178287455498e-07
